,com_1,com_2,com_3,com_4,com_5,hole_1,hole_2
166,19,9,46,43,20,34,17
167,49,9,32,6,33,43,32
168,46,23,30,42,46,12,31
169,48,26,47,11,50,32,46
170,39,14,51,50,17,4,11
171,33,18,13,29,18,14,29
172,7,38,46,22,38,13,45
173,39,2,8,22,32,12,23
174,16,39,40,35,19,50,10
175,23,33,1,4,48,5,31
176,32,35,23,44,14,41,19
177,48,37,12,40,8,32,42
178,10,44,51,51,28,15,8
179,40,35,48,47,39,22,2
180,29,26,5,8,40,44,34
181,10,26,35,46,17,46,18
182,19,29,31,37,45,16,17
183,26,43,28,51,15,29,26
184,44,12,32,41,31,45,36
185,48,2,42,14,49,12,46
186,26,26,43,43,10,8,9
187,15,44,1,14,22,26,42
188,11,3,7,27,8,21,30
189,17,42,15,11,34,21,30
190,27,20,3,44,28,1,38
191,49,39,30,20,6,34,36
192,12,42,49,13,22,39,23
193,50,19,22,31,20,33,32
194,31,49,12,16,34,28,26
195,5,43,42,34,37,43,29
196,40,21,12,28,20,16,39
197,37,8,3,32,32,50,21
198,28,13,48,15,25,29,39
199,46,47,6,33,15,18,38
200,19,11,34,30,44,18,32
201,50,4,20,27,14,45,4
202,1,37,3,10,49,24,46
203,30,31,26,46,30,40,37
204,23,6,45,21,50,36,29
205,10,4,40,28,5,43,48
206,17,33,35,6,24,15,28
207,14,52,28,25,52,34,37
208,38,40,37,21,41,40,43
209,39,19,15,20,6,48,38
210,31,2,30,25,16,18,2
211,21,1,23,37,52,30,17
212,46,4,1,9,17,3,37
213,48,23,28,2,30,41,27
214,31,52,50,8,46,32,44
215,1,1,23,21,26,50,13
216,19,34,11,50,35,8,50
217,33,40,10,20,47,18,17
218,38,51,18,2,35,39,1
219,46,30,49,2,4,32,42
220,11,46,24,39,43,22,25
221,37,15,9,50,17,21,1
222,28,43,9,15,45,30,43
223,25,15,45,16,52,30,38
224,8,51,52,5,16,13,4
225,10,14,43,9,19,38,17
226,44,29,29,12,1,3,48
227,5,50,28,26,4,37,13
228,38,10,48,39,3,42,50
229,36,44,27,22,11,18,43
230,48,36,50,7,22,25,15
231,25,6,32,30,38,9,51
232,1,3,7,52,31,18,32
233,14,31,11,8,21,32,30
234,31,24,14,22,14,35,7
235,26,43,11,4,1,51,17
236,26,38,49,49,38,16,7
237,1,24,48,35,30,18,13
238,8,19,16,23,22,39,43
239,48,47,16,4,38,38,27
240,30,24,41,38,2,37,41
241,12,25,48,45,17,14,8
242,31,48,45,51,10,42,26
243,20,27,13,14,31,50,2
244,42,9,10,11,6,48,27
245,26,21,11,32,8,48,42
246,31,9,27,21,51,40,49
247,43,31,52,29,47,37,18
248,49,37,1,25,48,13,28
249,28,5,46,38,39,20,39
250,43,28,12,11,45,38,18
251,46,51,29,48,7,43,13
252,50,27,15,37,8,26,24
253,49,27,11,15,34,1,15
254,19,6,38,1,48,7,16
255,34,1,20,46,48,44,14
256,37,10,33,16,29,19,34
257,8,45,33,22,40,2,14
258,34,28,24,35,36,38,40
259,29,31,31,18,37,13,45
260,43,7,43,12,21,48,13
261,10,5,29,20,43,8,33
262,23,9,45,21,16,46,14
263,20,8,30,33,42,10,41
264,52,32,42,16,39,36,52
265,21,42,5,49,18,40,44
266,17,7,10,41,37,49,42
267,9,34,20,6,41,16,10
268,41,45,19,41,30,51,49
269,51,8,5,27,15,9,13
270,39,36,2,40,34,25,15
271,48,15,52,33,11,7,49
272,1,20,43,45,34,25,24
273,39,9,34,52,31,16,28
274,44,31,37,36,26,10,44
275,40,33,47,29,47,46,42
276,30,12,49,15,50,6,42
277,24,23,37,26,46,30,39
278,25,35,42,34,11,6,3
279,19,11,27,13,16,25,30
280,35,36,39,43,13,19,3
281,15,12,39,26,42,5,6
282,24,39,50,24,29,34,32
283,34,46,39,43,26,9,35
284,10,33,30,29,39,40,33
285,51,37,10,30,45,17,32
286,10,50,36,14,48,43,30
287,29,13,19,49,33,18,16
288,19,9,6,9,7,34,2
289,7,30,4,5,9,5,47
290,12,27,36,36,48,10,16
291,51,2,20,48,31,11,45
292,7,45,37,51,21,7,25
293,13,18,40,4,11,38,7
294,31,8,14,19,16,19,28
295,42,33,44,39,35,37,24
296,25,24,8,34,29,7,40
297,32,50,21,26,32,9,47
298,1,42,46,18,17,5,39
299,3,19,48,48,21,19,3
300,6,37,27,39,3,5,1
301,43,41,28,50,36,27,47
302,25,37,48,26,16,9,26
303,13,8,38,18,25,43,8
304,9,14,24,19,10,43,28
305,7,34,42,18,15,18,14
306,12,50,19,44,39,36,14
307,11,10,3,25,3,40,3
308,33,28,49,8,37,17,23
309,25,22,3,43,45,39,23
310,4,18,11,5,35,10,46
311,3,42,11,15,12,20,36
312,28,37,32,3,42,31,3
313,38,16,36,5,47,7,28
314,11,27,20,40,22,19,3
315,48,8,28,21,46,43,25
316,11,31,4,11,24,45,14
317,25,5,10,40,43,51,29
318,22,12,33,4,46,24,30
319,26,4,47,16,39,36,19
320,37,3,34,25,40,52,7
321,19,47,15,17,6,26,3
322,35,15,39,44,18,13,15
323,20,44,28,8,28,48,12
324,16,15,18,17,8,51,25
325,21,42,7,49,26,17,30
326,44,34,8,46,38,30,20
327,42,47,7,29,26,8,32
328,16,35,25,29,48,41,1
329,39,19,43,22,41,27,45
330,48,4,1,30,40,3,18
331,32,40,19,16,7,31,30
332,7,17,40,44,31,43,15
333,42,9,31,37,49,32,8
334,11,8,16,43,38,12,40
335,13,24,14,24,24,7,12
336,50,38,3,41,5,9,31
337,50,8,39,35,51,41,14
338,52,21,35,12,28,22,39
339,17,24,39,22,34,40,5
340,22,7,28,38,22,51,51
341,22,48,9,17,32,19,32
342,32,15,13,48,18,45,11
343,37,28,20,35,51,17,29
344,33,28,45,8,1,37,18
345,7,23,10,9,38,29,34
346,16,13,29,7,4,15,3
347,27,5,13,14,19,2,30
348,44,27,37,47,26,32,29
349,14,12,49,36,1,15,44
350,17,32,33,42,26,44,41
351,31,31,40,47,32,2,43
352,42,35,23,9,12,36,9
353,34,22,35,37,18,49,48
354,21,28,24,38,37,15,9
355,20,46,12,44,48,17,8
356,2,15,38,25,47,22,52
357,8,49,5,9,1,37,8
358,49,3,30,28,35,40,23
359,28,44,11,15,20,10,15
360,22,6,50,16,50,17,13
361,40,9,48,4,25,23,6
362,26,38,13,46,25,32,11
363,21,50,7,18,42,26,7
364,18,17,12,1,17,21,42
365,21,27,45,12,5,44,3
366,50,21,41,38,43,45,5
367,25,7,50,11,30,25,31
368,39,51,39,48,6,42,20
369,29,22,50,50,48,35,3
370,13,28,29,9,22,40,52
371,14,24,18,12,27,33,19
372,12,51,32,7,19,38,37
373,11,17,12,14,1,42,44
374,35,3,48,22,3,39,3
375,36,45,18,45,47,5,43
376,38,18,21,18,23,46,50
377,28,13,4,22,19,49,10
378,37,1,43,24,39,2,23
379,23,22,35,40,41,14,11
380,41,49,3,21,40,52,39
381,15,48,44,36,45,36,20
382,19,35,45,33,7,51,15
383,14,39,4,20,28,50,17
384,13,37,34,14,1,28,10
385,24,5,38,2,44,21,3
386,26,20,11,52,6,39,20
387,8,14,32,23,31,7,50
388,2,44,52,21,40,51,15
389,9,49,42,40,22,11,35
390,52,10,14,6,6,49,32
391,49,32,2,24,8,45,16
392,41,36,26,31,40,51,9
393,7,37,34,40,13,17,8
394,49,13,14,3,23,49,10
395,27,51,34,1,41,23,42
396,3,4,37,21,2,5,46
397,2,40,43,15,3,9,45
398,33,24,45,16,15,27,12
399,49,5,21,21,14,25,9
400,34,39,30,31,36,51,31
401,7,34,5,9,13,29,49
402,45,5,39,22,47,37,24
403,12,11,49,34,33,2,28
404,28,18,3,44,29,19,34
405,49,29,1,20,46,39,49
406,43,5,17,8,49,17,22
407,21,32,37,25,49,18,45
408,45,51,42,17,7,1,21
409,25,12,42,16,20,7,25
410,19,8,24,12,22,22,15
411,32,9,45,18,19,34,25
412,16,18,38,35,14,22,21
413,25,46,39,41,49,37,12
414,44,28,46,11,10,41,3
415,39,40,24,33,20,4,5
416,33,39,32,11,3,12,29
417,22,23,43,17,31,38,11
418,6,31,17,16,26,34,27
419,12,33,1,19,1,4,34
420,17,41,12,9,4,10,29
421,3,35,46,5,13,41,8
422,10,22,38,40,27,50,27
423,35,15,24,9,4,36,13
424,23,50,37,43,22,12,44
425,16,47,32,34,45,19,48
426,46,20,17,1,40,17,25
427,29,9,21,49,29,51,10
428,1,46,22,30,5,8,11
429,48,44,50,36,6,23,5
430,3,3,23,2,44,2,27
431,34,25,17,11,10,33,14
432,24,31,44,31,14,27,19
433,7,43,16,30,37,20,11
434,11,21,40,23,39,47,7
435,16,19,30,11,50,32,39
436,38,23,26,48,3,31,41
437,11,41,8,13,34,26,8
438,37,15,11,13,20,18,27
439,40,3,31,35,29,32,36
440,51,22,16,33,25,9,48
441,31,16,17,48,32,46,35
442,45,7,30,25,15,17,13
443,35,21,26,4,27,35,14
444,10,37,44,44,40,41,14
445,9,42,40,8,41,28,15
446,18,34,35,17,39,8,39
447,37,34,11,2,10,13,31
448,17,40,12,5,48,51,26
449,2,39,17,8,4,49,10
450,22,6,34,29,26,35,2
451,46,12,37,32,50,28,7
452,40,7,35,33,28,32,39
453,7,34,50,29,1,19,40
454,14,15,26,12,47,47,11
455,32,39,13,8,1,12,7
456,31,18,27,44,33,51,49
457,31,24,49,7,5,5,52
458,4,2,42,16,46,1,22
459,19,45,45,46,25,4,5
460,18,18,2,31,28,18,5
461,7,1,21,20,13,2,34
462,10,31,30,10,49,42,21
463,9,23,38,11,39,49,2
464,11,31,8,2,27,34,1
465,2,48,19,30,15,28,2
466,31,15,42,36,31,28,10
467,51,17,15,29,42,30,24
468,17,6,4,33,45,40,12
469,11,46,25,20,29,3,31
470,29,47,41,5,11,48,32
471,28,24,20,23,42,43,10
472,31,28,11,3,10,8,18
473,52,19,31,38,32,1,22
474,9,9,42,10,31,4,44
475,43,42,28,45,48,15,9
476,14,26,20,28,19,20,18
477,20,42,42,19,14,7,47
478,22,51,12,47,21,17,19
479,52,1,8,36,2,8,39
480,51,26,7,14,29,6,11
481,26,13,38,9,23,10,18
482,29,32,41,42,40,38,46
483,27,23,9,8,26,16,26
484,34,17,44,45,36,31,6
485,22,48,22,43,15,34,24
486,4,2,1,1,23,1,11
487,29,28,20,9,14,5,24
488,11,17,24,13,34,21,37
489,44,32,33,40,6,31,3
490,20,27,9,11,22,31,5
491,10,22,25,12,26,7,32
492,7,46,5,28,35,25,40
493,32,51,10,48,4,5,3
494,36,9,32,51,33,37,46
495,3,46,38,25,43,44,6
496,21,14,13,35,29,44,9
497,39,30,47,35,44,4,5
498,42,8,50,26,30,48,25
499,41,22,7,41,18,40,8
500,6,5,19,44,18,24,3
501,14,11,16,40,44,19,52
502,49,14,37,21,26,43,43
503,26,51,46,2,40,1,27
504,25,10,22,4,20,25,42
505,40,5,38,47,32,20,10
506,6,15,44,38,47,48,5
507,1,44,26,47,6,4,20
508,20,29,15,6,27,34,38
509,52,27,20,37,11,25,30
510,15,52,49,34,16,52,47
511,29,39,50,17,33,44,50
512,50,11,6,10,33,13,19
513,21,5,49,23,21,24,9
514,22,19,29,33,28,1,27
515,52,45,43,28,18,35,7
516,51,49,23,24,12,21,39
517,2,3,15,15,45,5,6
518,24,34,33,15,38,5,49
519,27,6,47,21,44,16,52
520,3,2,43,42,10,13,24
521,8,40,47,35,28,20,32
522,14,45,12,36,19,17,6
523,15,35,24,28,13,9,16
524,10,39,21,4,21,41,16
525,42,17,13,8,5,5,6
526,37,51,52,37,36,38,45
527,9,47,31,30,4,44,41
528,35,34,35,34,26,32,12
529,5,35,41,19,41,9,9
530,14,39,21,15,15,2,3
531,52,51,34,47,31,39,45
532,52,29,50,16,27,11,20
533,27,33,2,36,16,21,51
534,23,25,44,13,18,20,42
535,1,52,31,26,39,32,52
536,24,14,48,22,29,33,6
537,22,24,37,13,22,19,40
538,49,30,12,47,45,46,15
539,38,49,6,31,5,4,13
540,33,30,14,34,17,43,34
541,29,7,50,5,7,27,40
542,41,45,43,2,6,35,25
543,19,25,32,23,6,4,19
544,3,43,7,19,49,10,4
545,46,2,13,39,49,44,35
546,40,24,13,23,38,9,14
547,11,8,24,7,50,23,36
548,32,21,19,40,42,18,26
549,9,44,35,34,37,32,12
550,46,10,20,9,26,15,39
551,14,1,4,23,20,11,41
552,40,6,25,22,28,45,8
553,7,11,38,22,48,44,49
554,29,45,17,44,38,47,39
555,2,29,12,12,32,19,44
556,44,19,27,28,5,6,2
557,46,41,26,24,16,35,28
558,15,52,26,42,15,47,33
559,23,46,13,32,22,49,24
560,9,30,20,45,48,16,48
561,14,21,42,32,32,37,6
562,14,32,36,14,46,16,10
563,47,49,47,17,30,44,11
564,33,10,11,36,21,8,3
565,40,31,38,25,4,50,25
566,52,17,11,22,34,20,12
567,21,13,28,30,29,4,26
568,11,5,45,11,23,49,5
569,4,21,2,2,35,12,14
570,30,11,18,30,16,8,28
571,2,43,20,27,28,9,44
572,23,47,37,31,51,37,25
573,8,42,45,45,2,3,50
574,32,50,1,35,23,14,42
575,34,22,51,38,27,46,50
576,23,40,11,35,41,6,13
577,37,14,13,41,40,37,43
578,45,8,23,28,19,20,9
579,19,37,28,44,20,36,9
580,1,28,15,15,25,47,40
581,36,12,23,27,14,49,14
582,33,41,45,20,41,2,21
583,14,32,40,49,3,27,51
584,16,45,5,29,13,20,21
585,40,40,30,50,27,40,51
586,42,32,41,41,45,39,5
587,2,5,38,32,6,4,18
588,44,9,30,33,17,35,9
589,18,29,21,22,14,25,49
590,41,28,42,36,28,29,17
591,44,50,31,35,35,48,34
592,32,28,12,31,13,36,7
593,43,19,33,37,35,52,7
594,6,30,49,17,41,42,4
595,10,44,50,14,28,38,9
596,49,20,5,4,30,26,35
597,6,4,47,48,45,41,12
598,51,27,41,49,36,10,38
599,46,46,4,26,50,15,6
600,9,31,22,40,9,42,45
601,10,37,42,11,27,43,20
602,28,49,23,12,23,5,11
603,16,47,49,3,26,38,7
604,18,17,30,21,44,21,45
605,23,29,40,45,18,35,45
606,15,27,36,14,18,49,22
607,25,48,1,13,40,21,50
608,17,12,40,9,13,31,52
609,50,16,45,7,11,23,33
610,28,48,15,2,26,27,52
611,33,27,21,41,10,6,25
612,35,50,8,11,36,20,21
613,19,38,25,26,39,44,9
614,2,51,39,33,28,21,46
615,26,24,23,19,22,45,50
616,2,30,13,24,27,21,12
617,35,26,30,42,9,25,35
618,40,8,27,38,28,45,7
619,19,1,52,27,8,9,35
620,33,40,16,9,16,16,47
621,9,33,45,1,16,17,41
622,52,31,30,29,51,42,8
623,23,35,4,19,17,48,23
624,43,15,31,26,34,16,24
625,40,4,29,48,43,29,52
626,52,46,48,48,21,12,6
627,5,7,24,22,29,46,21
628,25,17,26,46,5,26,22
629,15,11,5,15,46,34,13
630,9,50,16,47,29,38,19
631,40,5,33,21,45,17,51
632,28,42,45,46,5,45,47
633,21,7,40,36,13,10,30
634,19,35,51,5,11,37,7
635,42,23,35,40,24,41,33
636,31,11,6,50,52,39,19
637,13,24,11,30,7,14,11
638,37,40,7,31,17,18,48
639,6,18,5,25,41,39,19
640,4,3,48,14,45,41,11
641,11,11,20,41,46,27,49
642,13,8,46,29,37,36,3
643,41,42,11,47,33,27,39
644,32,41,29,8,26,52,22
645,28,22,2,27,26,12,52
646,14,34,45,17,31,43,20
647,17,46,30,2,37,20,44
648,36,27,45,28,45,10,23
649,51,37,51,48,38,37,6
650,9,20,36,37,35,20,15
651,34,11,28,39,4,37,23
652,37,41,22,52,21,48,41
653,18,13,10,6,35,26,5
654,7,16,1,51,37,22,49
655,7,44,46,50,50,31,9
656,36,37,48,36,38,34,46
657,9,11,32,10,33,30,22
658,7,26,1,28,25,38,32
659,28,36,11,44,21,18,33
660,39,51,15,13,10,9,37
661,28,3,35,19,41,29,48
662,18,47,11,3,12,24,51
663,45,1,22,51,44,36,15
664,22,3,35,11,50,32,40
665,18,3,25,42,28,5,23
666,50,22,41,17,16,43,13
667,7,8,25,32,9,4,25
668,41,46,31,7,16,3,39
669,40,28,45,20,38,25,31
670,6,1,12,27,36,28,29
671,48,43,44,21,32,33,22
672,37,45,19,6,43,32,5
673,11,51,30,8,23,42,36
674,10,51,29,20,20,47,20
675,36,35,15,37,48,36,51
676,45,3,30,26,7,42,21
677,41,19,1,17,4,9,11
678,16,23,48,33,14,6,31
679,36,25,20,2,19,34,35
680,46,36,45,46,31,27,9
681,20,24,16,23,44,41,46
682,5,29,3,44,19,30,41
683,52,37,8,19,3,41,49
684,6,40,52,36,17,28,41
685,23,36,41,3,10,2,36
686,33,5,47,40,16,17,31
687,34,18,20,35,7,40,26
688,7,11,48,12,14,11,38
689,32,49,29,50,24,42,13
690,28,11,29,2,39,9,19
691,38,7,19,43,13,41,19
692,29,2,52,15,49,20,7
693,46,13,44,51,23,8,33
694,18,45,15,4,4,42,40
695,44,38,49,27,18,20,25
696,7,38,7,21,28,8,34
697,6,39,3,24,34,13,13
698,14,1,12,5,44,10,45
699,50,33,15,9,24,30,4
700,37,3,6,34,16,49,19
701,10,38,5,19,51,25,48
702,27,48,49,52,49,9,24
703,7,40,11,50,50,16,22
704,47,2,18,3,39,50,3
705,7,22,29,18,50,9,20
706,34,10,46,48,28,29,52
707,30,9,13,17,39,23,52
708,26,20,8,46,30,2,26
709,48,39,28,42,32,29,10
710,34,39,2,27,26,10,20
711,42,42,33,37,41,2,25
712,51,16,1,15,40,13,20
713,21,15,7,51,50,32,31
714,33,28,28,46,29,47,48
715,4,50,32,47,46,36,3
716,4,6,40,26,35,11,8
717,6,43,6,11,13,3,14
718,13,46,11,35,36,20,33
719,33,30,22,13,21,45,24
720,21,12,5,29,6,21,47
721,12,12,14,21,9,5,52
722,32,40,35,25,19,41,17
723,38,19,46,18,2,11,43
724,43,20,7,35,22,52,52
725,44,5,50,41,14,1,41
726,43,37,26,47,35,7,23
727,24,40,48,51,26,47,37
728,51,8,34,37,3,19,15
729,37,17,39,37,18,10,42
730,45,39,10,20,12,21,17
731,23,6,35,17,21,14,47
732,20,16,37,14,1,7,44
733,33,13,26,49,17,31,29
734,1,6,4,48,42,1,6
735,42,43,17,46,31,47,29
736,48,12,33,30,10,52,11
737,50,30,8,24,18,29,7
738,33,20,49,32,7,11,34
739,27,2,25,28,38,18,35
740,5,52,25,16,44,51,28
741,28,9,12,19,46,25,44
742,42,29,6,9,8,17,27
743,4,52,8,23,46,10,18
744,11,50,46,45,11,44,31
745,50,41,30,3,17,1,27
746,49,47,1,42,29,26,11
747,48,36,35,38,23,37,41
748,38,11,27,24,9,25,25
749,47,14,39,49,5,31,6
750,24,48,35,18,7,28,3
751,25,24,15,35,1,1,51
752,15,51,27,40,10,19,49
753,8,15,19,34,49,40,12
754,38,39,14,25,15,40,42
755,7,36,32,51,38,16,17
756,51,18,15,39,24,9,36
757,19,4,4,24,16,28,18
758,39,20,26,23,20,43,36
759,9,17,37,37,10,27,23
760,30,36,51,51,25,10,26
761,4,16,31,4,10,42,20
762,33,24,8,4,51,17,34
763,6,24,20,45,14,19,8
764,48,6,28,35,23,24,13
765,34,44,10,38,4,29,10
766,20,48,29,43,33,7,8
767,44,9,33,13,14,17,23
768,37,30,41,48,45,11,36
769,8,29,52,44,12,35,19
770,45,43,16,37,8,31,15
771,4,7,40,18,6,19,1
772,20,7,45,49,42,30,24
773,44,24,13,29,30,27,12
774,28,27,41,31,16,39,37
775,49,39,40,11,43,27,26
776,37,21,3,12,27,6,21
777,15,46,17,34,7,50,46
778,1,31,26,34,26,3,19
779,19,49,33,33,50,11,51
780,14,16,30,45,11,52,10
781,19,51,9,24,32,6,28
782,43,2,1,37,24,11,7
783,12,23,2,30,20,7,3
784,52,3,23,22,30,20,39
785,10,31,39,51,39,51,49
786,22,48,9,21,18,15,4
787,9,41,33,10,35,49,21
788,48,24,23,5,39,23,8
789,32,44,29,43,33,21,7
790,23,31,32,32,35,49,5
791,35,51,46,43,37,47,36
792,5,29,19,44,28,16,42
793,14,9,30,25,37,9,52
794,1,40,15,48,7,6,11
795,18,28,19,35,18,4,47
796,38,1,20,14,14,25,46
797,38,20,50,14,29,36,51
798,21,5,33,50,3,34,5
799,3,1,1,16,36,26,9
800,7,14,52,27,41,52,34
801,13,12,45,24,7,34,33
802,12,9,35,35,1,20,36
803,18,34,26,23,35,44,24
804,27,26,15,41,9,24,35
805,17,28,48,41,4,36,17
806,48,50,8,22,44,5,7
807,50,47,19,47,16,39,50
808,32,35,3,22,32,7,12
809,24,32,33,33,31,47,35
810,20,34,43,7,11,25,35
811,50,10,36,9,46,43,28
812,13,19,3,41,14,22,46
813,15,4,37,15,38,1,17
814,48,51,30,12,37,15,12
815,27,38,51,1,8,7,29
816,48,27,12,36,16,51,6
817,2,35,40,48,33,29,47
818,39,10,41,13,48,16,50
819,6,50,28,36,18,22,29
820,9,4,46,1,20,24,31
821,17,5,10,2,3,9,39
822,31,35,12,7,21,39,4
823,33,9,49,8,14,11,45
824,48,48,17,17,14,38,40
825,36,6,35,29,20,13,48
826,28,47,45,6,40,1,41
827,14,43,38,6,37,42,13
828,33,44,12,52,4,22,21
829,21,44,23,39,41,35,5
830,26,41,36,25,25,52,10
831,32,43,38,23,16,39,33
832,14,46,21,2,44,30,10
833,30,23,44,21,20,30,9
834,40,37,33,1,30,38,48
835,47,12,27,38,21,41,9
836,44,4,23,16,46,34,45
837,19,34,30,17,41,41,20
838,42,43,19,42,2,6,26
839,26,11,22,10,28,1,42
840,30,23,17,32,14,42,8
841,6,22,11,23,6,3,35
842,2,15,31,11,34,7,2
843,3,47,48,11,30,14,7
844,34,3,28,12,37,41,11
845,22,22,12,37,5,20,36
846,30,7,31,30,50,21,1
847,20,25,16,33,41,14,39
848,24,47,15,23,42,7,47
849,8,20,19,14,12,34,12
850,9,32,23,33,11,43,29
851,2,48,2,35,6,14,39
852,26,29,28,41,19,21,30
853,21,19,14,52,49,5,19
854,40,52,51,13,31,12,45
855,45,25,4,42,36,6,15
856,15,12,45,4,33,22,48
857,52,21,7,22,35,12,12
858,7,5,43,7,9,17,40
859,20,23,16,6,20,38,14
860,9,19,22,14,14,31,11
861,23,36,31,48,36,25,23
862,20,20,7,6,15,17,37
863,41,34,6,36,39,12,1
864,36,9,37,7,17,28,49
865,45,18,48,43,43,10,12
866,22,52,8,7,23,48,35
867,24,13,9,4,36,8,29
868,36,14,17,34,29,49,48
869,47,8,49,1,50,40,39
870,42,23,43,26,34,11,31
